mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0025983333587646486,0.0007993221496302577,0.001199483871459961,0.0003997087585296766,gini,20,5,4,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 4}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0021986961364746094,0.00039982802823816167,0.0015990734100341797,0.0004896872689827718,gini,20,5,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.9591836734693877,0.9795918367346939,0.9795918367346939,0.9791666666666666,1.0,0.9795068027210885,0.012908376128670712,384
0.0021986961364746094,0.00039982802823816167,0.0015990257263183594,0.00048964831991544,gini,20,5,6,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 6}",0.9591836734693877,0.9795918367346939,0.9795918367346939,0.9791666666666666,1.0,0.9795068027210885,0.012908376128670712,384
0.00219879150390625,0.00039966127393576274,0.001199483871459961,0.00039994748978239313,gini,20,5,7,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 7}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0023987293243408203,0.0004892981499535512,0.0013993263244628906,0.0004890646880000278,gini,20,5,8,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 8}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0019988059997558595,1.206558201825688e-05,0.0019988536834716795,1.1843813377791276e-05,gini,20,5,9,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 9}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.002002906799316406,7.302617464885836e-06,0.0010022640228271485,5.632736694658166e-06,gini,20,5,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0019998550415039062,1.8157418026599666e-06,0.0015981197357177734,0.0004891057987356145,gini,20,6,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 2}",0.9591836734693877,0.9795918367346939,0.9795918367346939,1.0,1.0,0.9836734693877551,0.015272070966424267,35
0.002601766586303711,0.000492206748605112,0.0019956111907958986,0.0006333711212105532,gini,20,6,3,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 3}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
0.0027984142303466796,0.0007478439599159624,0.0021950244903564454,0.0004019695272713018,gini,20,6,4,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.9591836734693877,0.9591836734693877,0.9795918367346939,0.9791666666666666,1.0,0.9754251700680271,0.015250276047477723,588
